False_Positive_Rate,True_Positive_Rate,Threshold
0.5219123505976095,0.6726190476190477,0.416
0.5338645418326693,0.6726190476190477,0.414
0.5378486055776892,0.6845238095238095,0.412
0.549800796812749,0.6845238095238095,0.406
0.5537848605577689,0.6904761904761905,0.402
0.5577689243027888,0.6904761904761905,0.4
0.5657370517928287,0.6904761904761905,0.398
0.5697211155378487,0.7023809523809523,0.394
0.5697211155378487,0.7083333333333334,0.39
0.5856573705179283,0.7142857142857143,0.388
0.5936254980079682,0.7142857142857143,0.386
0.6175298804780877,0.7142857142857143,0.384
0.6215139442231076,0.7142857142857143,0.38
0.6215139442231076,0.7261904761904762,0.376
0.6254980079681275,0.7321428571428571,0.374
0.6294820717131474,0.7321428571428571,0.37
0.6414342629482072,0.7321428571428571,0.364
0.6454183266932271,0.7380952380952381,0.362
0.649402390438247,0.7380952380952381,0.36
0.649402390438247,0.7440476190476191,0.358
0.6533864541832669,0.75,0.352
0.6533864541832669,0.7559523809523809,0.35
0.6613545816733067,0.7559523809523809,0.348
0.6653386454183267,0.7559523809523809,0.346
0.6693227091633466,0.7619047619047619,0.342
0.6733067729083665,0.7619047619047619,0.338
0.6812749003984063,0.7678571428571429,0.334
0.6812749003984063,0.7738095238095238,0.332
0.6852589641434262,0.7738095238095238,0.328
0.6932270916334662,0.7916666666666666,0.326
0.701195219123506,0.7976190476190477,0.324
0.701195219123506,0.8035714285714286,0.322
0.7051792828685259,0.8035714285714286,0.32
0.7051792828685259,0.8095238095238095,0.318
0.7091633466135459,0.8095238095238095,0.316
0.7131474103585658,0.8154761904761905,0.312
0.7211155378486056,0.8214285714285714,0.31
0.7211155378486056,0.8273809523809523,0.306
0.7250996015936255,0.8273809523809523,0.304
0.7250996015936255,0.8333333333333334,0.302
0.749003984063745,0.8333333333333334,0.294
0.749003984063745,0.8392857142857143,0.292
0.749003984063745,0.8571428571428571,0.29
0.7569721115537849,0.8571428571428571,0.286
0.7729083665338645,0.8630952380952381,0.284
0.7729083665338645,0.8690476190476191,0.282
0.7729083665338645,0.8809523809523809,0.28
0.7768924302788844,0.8809523809523809,0.278
0.7928286852589641,0.8809523809523809,0.27
0.8007968127490039,0.8869047619047619,0.264
0.8047808764940239,0.8928571428571429,0.262
0.8087649402390438,0.8928571428571429,0.26
0.8167330677290837,0.8928571428571429,0.258
0.8207171314741036,0.8988095238095238,0.25
0.8247011952191236,0.8988095238095238,0.248
0.8326693227091634,0.8988095238095238,0.244
0.8366533864541833,0.9047619047619048,0.232
0.8366533864541833,0.9107142857142857,0.23
0.8446215139442231,0.9226190476190477,0.226
0.8565737051792829,0.9226190476190477,0.224
0.8565737051792829,0.9285714285714286,0.22
0.8645418326693227,0.9285714285714286,0.214
0.8725099601593626,0.9285714285714286,0.212
0.8725099601593626,0.9345238095238095,0.202
0.8844621513944223,0.9345238095238095,0.2
0.8884462151394422,0.9345238095238095,0.198
0.8884462151394422,0.9404761904761905,0.196
0.8924302788844621,0.9404761904761905,0.194
0.900398406374502,0.9404761904761905,0.19
0.9043824701195219,0.9404761904761905,0.188
0.9083665338645418,0.9464285714285714,0.186
0.9203187250996016,0.9464285714285714,0.184
0.9282868525896414,0.9464285714285714,0.18
0.9282868525896414,0.9523809523809523,0.178
0.9322709163346613,0.9523809523809523,0.172
0.9402390438247012,0.9583333333333334,0.17
0.9442231075697212,0.9583333333333334,0.164
0.9482071713147411,0.9642857142857143,0.162
0.9561752988047809,0.9702380952380952,0.16
0.9561752988047809,0.9821428571428571,0.144
0.9760956175298805,0.9821428571428571,0.114
0.9760956175298805,0.9880952380952381,0.108
0.9880478087649402,0.9880952380952381,0.06
0.9880478087649402,0.9940476190476191,0.05
0.9920318725099602,0.9940476190476191,0.046
0.9920318725099602,1.0,0.038
1.0,1.0,0.02
